,count,is_french
neymar,6,False
rec,6,False
popopopopop,6,False
that's,6,False
tchoins,6,False
ssous,6,False
fuckboi,6,False
quiero,6,False
tou-tou-tou-tou-tou-tou,6,False
ah-yah-yah,6,False
tiek,6,False
key,6,False
trafiquanté,6,False
déja,6,False
pillow,6,False
bounces,6,False
nunca,6,False
déguns,6,False
babtou,6,False
qlf,6,False
snappes,6,False
naha,6,False
bin-bin-binks,6,False
quette,6,False
ture-voi,6,False
space,6,False
twingo,6,False
fifty,6,False
ki,6,False
gent-ar,6,False
phone-tél,6,False
famas,6,False
mastar,6,False
armani,6,False
matrixé,6,False
benef,6,False
charbonneurs,6,False
pitbulls,6,False
busy-busy,6,False
vie-là,6,False
lossas,6,False
mouv,6,False
yohoho,6,False
marcelino,6,False
bounce,6,False
vvs,6,False
dou-double,6,False
trons-li,6,False
prods,6,False
sé-po,6,False
soy,5,False
balèzes,5,False
racailler,5,False
num,5,False
glocks,5,False
tupac,5,False
jusqu'aux,5,False
beugeuh,5,False
timp,5,False
aladdin,5,False
textos,5,False
kossity,5,False
shawty,5,False
ghini,5,False
big-up,5,False
demba,5,False
eagle,5,False
guidon-on-on,5,False
ffe-ta,5,False
ass,5,False
fakes,5,False
loss,5,False
comme-ci,5,False
yuri,5,False
ayayaye,5,False
hakan,5,False
michto,5,False
ciudad,5,False
migos,5,False
very,5,False
iro,5,False
farauder,5,False
dancehall,5,False
şükür,5,False
piguet,5,False
booska-p,5,False
policia,5,False
sopra,5,False
vils-ci,5,False
mystik,5,False
wu-tang,5,False
mierda,5,False
still,5,False
guapo,5,False
est-c'qu,5,False
ge-sh,5,False
hasba,5,False
mahrez,5,False
gabbana,5,False
c-sa,5,False
hellboy,5,False
how,5,False
hazi,5,False
ze,5,False
chtar,5,False
dc,5,False
lights,5,False
motherfuck,5,False
pa-pa-pa-pa,5,False
balenciaga,5,False
sses-fe,5,False
narvalo,5,False
eyez,5,False
sossa,5,False
bro,5,False
wanted,5,False
lalalala,5,False
cailles-ra,5,False
familia,5,False
écœure,5,False
zikxo,5,False
pocket,5,False
morning,5,False
namek,5,False
frà,5,False
beh,5,False
lui-là,5,False
ff,5,False
né-tour,5,False
tisse-mé,5,False
bédot,5,False
tel-ho,5,False
cjd,5,False
dream,5,False
lé-lé-lé-lé,5,False
checke,5,False
aille-aille-aille,5,False
maybach,5,False
chtars,5,False
cojo,5,False
lemsi,5,False
come-come,5,False
co-détenu,5,False
desert,5,False
tal,5,False
re-squa,5,False
tte-ch,5,False
guez,5,False
cabrón,5,False
ahah,5,False
popeye,5,False
mcdo,5,False
ch'min,5,False
siboy,5,False
vale-ca,5,False
maco,5,False
zizou,5,False
mashallah,5,False
rebeux,5,False
makaveli,5,False
adré,5,False
homies,5,False
mclaren,5,False
salat,5,False
schweitzer,5,False
dec,5,False
semi-auto,5,False
le-le,5,False
manaudou,5,False
lyrical,5,False
shine,5,False
lég,5,False
gerer,5,False
junkies,5,False
pé-ta,5,False
gué-lar,5,False
lost,5,False
héhé,5,False
chico,5,False
skurt,5,False
chouf,5,False
sidigo,5,False
cheese,5,False
rapgenius,5,False
djos,5,False
lose,5,False
warrior,5,False
cocainée,5,False
bénèf,5,False
dis-donc-onc-onc,5,False
ocrtis,5,False
bicraveurs,5,False
cupidon-on-on,5,False
drari,5,False
sses-lia,5,False
iblis,5,False
fiottes,5,False
ze-dou,5,False
tout-par,5,False
thugs,5,False
reum,5,False
golri,5,False
jamain,5,False
redouane,5,False
beldia,5,False
loosers,5,False
hearbreak,5,False
terre-terre,5,False
khené,5,False
zanotti,5,False
xs,5,False
shlags,5,False
jdid,5,False
mixtape,5,False
chaine,5,False
din,5,False
drip,5,False
cain-ri,5,False
broliques,5,False
peura,5,False
ten,5,False
merce,5,False
vato,5,False
eins,5,False
soso,5,False
per,5,False
quette-pla,5,False
variet,5,False
sarko,5,False
ch'veux,5,False
est-c'qu'on,5,False
cbr,5,False
rest,5,False
caba,5,False
compét,5,False
checkent,5,False
ariba,5,False
ocb,5,False
uhuh,5,False
vil-ci,5,False
tres,5,False
heures-minuit,5,False
natty,5,False
rackette,5,False
philipp,5,False
vocals,5,False
kalashnikov,5,False
bigos,5,False
walabok,5,False
tracks,5,False
rlah,5,False
league,5,False
pillave,5,False
zemmour,5,False
briganté,5,False
deus,5,False
keuss,5,False
quali,5,False
zappe,5,False
your,5,False
ray-ay-ay,5,False
eminem,5,False
say,5,False
indics,5,False
chen,5,False
plainté,5,False
rates-pi,5,False
tain-p,5,False
rapta,5,False
wallaye,5,False
zarma,4,False
ibra,4,False
poh-poh,4,False
cepu,4,False
leo,4,False
là-là-là,4,False
menottés,4,False
sal,4,False
lokos,4,False
crr,4,False
ke-cra,4,False
capone,4,False
bakambu,4,False
ge-lar,4,False
vagos,4,False
